DATETIME  EVENT   DESCRIPTION
05-05-2019 17:50:00  connection   127.0.0.1 conexión entrante
05-05-2019 17:50:00  command   127.0.0.1 ls
05-05-2019 17:50:00  response   servidor envía respuesta a 127.0.0.1
05-05-2019 17:50:00  command   127.0.0.1 ls
05-05-2019 17:50:00  response   servidor envía respuesta a 127.0.0.1
05-05-2019 17:50:00  command   127.0.0.1 ls
05-05-2019 17:50:00  response   servidor envía respuesta a 127.0.0.1
05-05-2019 17:50:06  connection   127.0.0.1 conexión entrante
05-05-2019 17:50:06  command   127.0.0.1 ls
05-05-2019 17:50:06  response   servidor envía respuesta a 127.0.0.1
05-05-2019 17:50:06  command   127.0.0.1 ls
05-05-2019 17:50:06  response   servidor envía respuesta a 127.0.0.1
05-05-2019 17:50:06  command   127.0.0.1 ls
05-05-2019 17:50:06  response   servidor envía respuesta a 127.0.0.1
05-05-2019 17:50:06  connection   127.0.0.1 conexión entrante
05-05-2019 17:50:06  command   127.0.0.1 delete bn_0.part
05-05-2019 17:50:06  response   servidor envía respuesta a 127.0.0.1
05-05-2019 17:50:06  command   127.0.0.1 delete bn_1.part
05-05-2019 17:50:06  response   servidor envía respuesta a 127.0.0.1
05-05-2019 17:50:06  command   127.0.0.1 delete bn_2.part
05-05-2019 17:50:06  response   servidor envía respuesta a 127.0.0.1
05-05-2019 18:04:46  connection   127.0.0.1 conexión entrante
05-05-2019 18:04:46  command   127.0.0.1 ls
05-05-2019 18:04:46  response   servidor envía respuesta a 127.0.0.1
05-05-2019 18:04:46  command   127.0.0.1 ls
05-05-2019 18:04:46  response   servidor envía respuesta a 127.0.0.1
05-05-2019 18:04:46  command   127.0.0.1 ls
05-05-2019 18:04:46  response   servidor envía respuesta a 127.0.0.1
05-05-2019 18:05:31  connection   127.0.0.1 conexión entrante
05-05-2019 18:05:31  command   127.0.0.1 ls
05-05-2019 18:05:31  response   servidor envía respuesta a 127.0.0.1
05-05-2019 18:05:31  command   127.0.0.1 ls
05-05-2019 18:05:31  response   servidor envía respuesta a 127.0.0.1
05-05-2019 18:05:31  command   127.0.0.1 ls
05-05-2019 18:05:31  response   servidor envía respuesta a 127.0.0.1
